Продукт;Кол-во на группу;Вес на 1 чел.;Вес на группу
Завтрак;;;
Рисовая;;55;500
Чернослив;;20;200
Мол. сух.в кашу;;15;150
Мол.сух.в какао;;15;150
Сахар (к);;10;100
Соль;;2;20
Колбаска;;30;300
Хлебцы;10;7;70
Какао;;15;150
Сахар;;10;100
Вафля;;20;200
Всего;;199;1940
Обед;;;
Борщ;;60;600
Соль;;2;20
Сухарики;;10;100
Сухари;20;20;200
Колбаска;;30;300
Шоколад;;25;250
Компот;;15;150
Сахар;;10;100
Всего;;172;1720
Перекус карманный;;;
Кешью ;;10;100
Арахис;;10;100
Мясо суш.;;20;200
Конфета;;20;200
Леденцы;;10;100
Всего;;70;700
Ужин;;;
Рис;;60;600
тушенка;;20;200
Паштет;;20;200
Соль;;2;20
Сухари;20;20;200
Чай;;2;20
Сахар;;10;100
Печенье;;25;250
Всего;;159;1590
Общий вес;;600;5940
