Продукт;Энергия (ккал);Белки (гр);Жиры (гр);Углеводы (гр);ГИ;Примечания
Хлебцы Finn crisp традиционные;360;10;2.5;62;;1 шт=9гр
Хлебцы Finn crisp 5 злаков;350;12;5.7;50;;1 шт=7,7 гр
Хлебцы Finn crisp Бородинские;340;12;2.5;53;;1 шт=8,5гр
Хлебцы Finn crisp мультизлаковые;347;11;3;60;;
Хлеб пшеничный свежий;254;8;2;53;;
Хлеб ржаной свежий;214;5;1;50;;
Сухари пшеничные;374;12;3;78;;
Сухари ржаные;357;8;2;83;;
Сушки;330;11;1;73;;4 гр
Крекеры соленые с укропом Любятово;460;8.5;20;61;;1 шт=8,5 гр, в пачке 27 шт
Крекеры соленые с сыром Любятово;440;8.5;15;66;;1 шт=9 гр, в пачке 26-28 шт
Мука пшеничная;327;10;1;74;;
Хлебцы гречневые Щедрые;410;13;5.5;59;;1 шт=12,5 гр, в пачке 8 шт
Галеты;360;10;3.5;67;;1 шт= 5 гр, в пачке 38
Хлебцы Круазет ржаные;331;9;1.8;69.2;;1 шт= 5,5 гр, в пачке 36 шт
Галеты Солёное хрустящее печенье с петрушкой Петра;324;6;16;41;;1 шт=21,6 гр, в пачке 12 шт
Хлебцы ржаные 365 дней;300;14.5;2.3;55.4;;1 шт=12,5 гр, в пачке 8 шт
Хлебцы многозерновые RYVITA из цельного зерная MULTY-GRAIN;370;11;7;56;;1 шт=10,6 гр, в пачке 23 шт
Хлебцы ржаные с чесноком Щедрые;360;10;4.5;52;;1 шт=12,5 гр, в пачке 8 шт
