Продукт;Энергия (ккал);Белки (гр);Жиры (гр);Углеводы (гр);ГИ;Примечания
Чай;2;0;0;1;;
Кофе растворимый;118;15;3.6;7;;1 ч.л=6 гр
Сахар;374;0;0;99;100;1 м.к.=4,5 гр
Соль;0;0;0;0;;
Какао;380;24;18;48;;2 ч.л=13,5
Чеснок;106;7;0;21;;
Рис;323;7;1;74;;50 гр норма
Греча;329;12;3;68;;50 гр норма
Геркулес;345;12;6;65;;50 гр норма
Смесь злаков;325;12;1;71;;
Горох;323;23;2;58;;
Чечевица;310;25;1;54;;
Перловка;324;9;1;74;;
Кукурузная;328;8.3;1.2;71;;
Пшённая;334;12;3;69;;
Овсяные хлопья Лента;310;12;6;51;;в пачке 800 гр
Вермишель;300;6;1;70;;
Картофельное пюре;337;10.5;3.8;75.3;;1 ст.л=12 гр
Яичная лапша;303.7;8.19;1.16;54.69;;
Макароны;337;10;1;74;;
Кускус;376;12.8;0.6;72.4;;
Макароны лапша;337;10;1;74;;
Крупа пшеничная Кускус Мистраль;353;11.6;2.1;75.1;;в пачке 450 гр
Сахар-песок;374;0;0;99;;1 ст.л.=25 гр
