Продукт;Энергия (ккал);Белки (гр);Жиры (гр);Углеводы (гр);ГИ;Примечания
Колбаса сырокопчёная;473;25;42;0;;40 грамм порция
Курица вяленая (джерки);339;70.8;5.7;1.2;;16,25 гр порция
Сушёное мясо домашнее;474;73.6;20;0;;15 грамм порция
Говядина тушёная;232;17;18;0;;
Свинина тушёная;349;5;32;0;;
Корейка сырокопчёная;467;11;47;0;;40 грамм порция
Паштет утиный;321;14;27;2;;
Пеммикан говяжий;794;19;79;0;;
Шпроты;363;17.4;32.4;0;;
Рыба вяленая;;;;;;
Рыба сушёная;300;46.3;8.8;0;;
Сайра в масле;283;18.3;23.3;0;;
Рыба (судак) отварная сублимированная;65;14.2;0.9;0;;
Кальмары;179;28.7;1.1;3;;

