Продукт;Энергия (ккал);Белки (гр);Жиры (гр);Углеводы (гр);ГИ;Примечания
Молоко сухое цельное;549.3;26;25;37;;
Молоко сухое цельное Фарсис 26%;490;34;26;30;;в пачке 400 гр
Творог сушёный;534;59;30;7;;
Творог сублимированный;534;59;30;7;;
Сыр твёрдый;360;23;30;0;;30 гр порция
Сыр плавленный;323;20;27;3.8;57;
Сыр сушёный;667;41;41;0;;
Сыр сублимированный;512;57.2;30;0;;
Масло топленое;900;0;99.7;0;;
Масло сливочное;748;0.4;82.5;0.8;51;
Маргарин;743;0.2;82;2.1;55;
Масло растительное;899;0;99.9;0;;
Сало свиное;841;1.4;90;0;;
Масло оливковое;898;0;99.8;0;;
Майонез;621;0.3;67;2.6;60;
Масло сливочное сублимированное;784;7.8;80;8.2;;
Сметана сублимированная;754;10.2;74;11.8;;
Молоко сгущённое;315;7;9;56;;
Сливки сухие;476;23;43;26;;
Яичный порошок;542;46;37.3;4.5;;

