Продукт;Энергия (ккал);Белки (гр);Жиры (гр);Углеводы (гр);ГИ;Примечания
Козинак подсолнечный глазированный Азовская;550;11.9;36.2;40;;1шт=20,8гр
Конфета Рот фронт;470;10.7;29.5;53.2;;1 шт=12 гр
Конфета Зернушка;520;5;28;62;;1 шт=14 гр
Конфета Ярче!;498;10.3;24.4;53;;1 шт=17,5 гр
Конфета Топлёное молоко;545;4.6;32.8;57.9;;1 шт=12 гр
Халва подсолнечная конфета Рот Фронт;528;14.7;33;44;;1 шт=29,8гр
Шоколад молочный;547;7;36;52;;13 приёмов по 200гр
Шоколад горький;540;5;35;53;;6 приёмов по 200г
Шоколад Алёнка;550;8;33;54;;1шт=20гр
Вафли Аппетитки шоколадные Сормовские;510;6;29;55;;1шт=28,1 гр, в пачке 8 шт
Печенье Юбилейное;407;7.4;9.4;73.1;;1шт=13,5 гр, в пачке 28
Конфета Москвичка;396;2.6;9;79;;1 шт=10,7 гр
Печенье Мария;420;8;9.5;72;;1 шт=5,1 гр, в пачке 35 шт
Козинак Тимоша;530;11;35.4;41.3;;1 шт=18 гр
Конфета Щелкунчик;530;6.54;29;57;;1 шт=16 гр
Конфета Бабаевский Наслаждение;510;9.5;29.2;50.3;;1 шт=20,8гр
Печенье овсяное;413;5.9;13.5;72.8;79;1 шт=27,7 гр
Шоколад Крупской с помадно-сливочной начинкой;460;5;24;62;;1шт=50гр
Шоколад Кит Кат конфеты;530;5.7;28.4;62.1;;1шт=17,18гр
Пряник Малыш;360;7.5;6.2;68.5;80;1шт=30гр, в пачке 10 шт
Вафли Артек Сормовские;520;4.2;28;64;;1шт=28,1 гр, в пачке 8 шт
Джем ягодный порционный;240;0;0;60;;20 гр
Щербет Арахисовый;437;6.9;14.6;69.6;;1шт=250гр
Гематоген;354;6;3;75.7;;
Сухари сладкие;450;11.8;10.1;85;;1шт=17,5
Печенье Любятово шоколадное;460;7.5;18;65;;1 шт = 14,5 гр в пачке 22 шт
Печенье Любятово топлёное молоко;450;7.5;17;66;;1 шт=22,2 гр, в пачке 18 шт
Печенье Южная ночь;400;8.5;12;63;;1 шт=10 гр, в пачке 20 шт
Печенье с изюмом Семейка Озби;393;8.9;8.9;71.9;;1шт=15,4 гр, в пачке 12 шт
Печенье Пополамки;480;6.5;24;61;;1 шт=20 гр, в пачке 20 шт
Ирис сливочный 365 дней;400;3.6;7.2;80.2;;1 долька=10,2, в пачке 24 шт
Ирис шоколадный 365 дней;397;3.9;7.2;79.2;;1 долька=10,2, в пачке 24 шт
Печенье Лейбниц;435;8.4;12;72;;1 шт=5 гр, в пачке 40 шт
Печенье сахарное Каскад с изюмом;401;5.8;12.1;64.5;;1шт=10,3, в пачке 29 шт
Печенье Mulinelli с ванильной начинкой;460;5.5;17;72;;1шт=25гр, в пачке 12 шт
Батончик Мюсли Ego;412;5;11;71;;1шт=25гр
Батончик Козинак Азовская;580;15;43;34;;1шт=50гр
Батончик мюсли Fit GO!;401;8.2;13;59;;1шт=30гр
Шоколадки Твикс;497;3.9;24.3;65.2;;1палочка=41гр
Ирис Мамба;389;0;5.4;85.6;;1шт=4,4 гр, в пачке 24 шт
Конфета Коровка Топлёное молоко;560;6;34;55;;1шт=13,88гр

